id,colonia
524,Ampliacion Martires De Rio Blanco
525,Año De Juarez
526,Casa Blanca
527,Merced Balbuena
528,Pueblo Santa Maria Aztahuacan
529,Justo Sierra
530,Sector Popular
531,Florida
532,Cerro De La Estrella
533,San Juan De Aragon Iv Seccion
534,Lomas Altas
535,Cuautepec Barrio Alto
536,Lomas De Plateros
537,Polanco V Seccion
538,Residencial Acueducto De Guadalupe
539,Cuchilla Pantitlan
540,Magdalena De Las Salinas
541,Barrio Santiago
542,Lago Sur
543,Argentina Poniente
544,Loma Hermosa
545,Valle Del Sur
546,Dr Alfonso Ortiz Tirado
547,Lomas De Padierna
548,Villa Centroamericana
549,Emiliano Zapata Fraccionamiento Popular
550,San Pedro Zacatenco
551,Bondojito
552,Pueblo De Santiago Atzacoalco
553,San Felipe
554,Ampliacion Ricardo Flores Magon
555,San Andres Tetepilco
556,Pueblo San Martin Xochinahuac
557,Olivar Del Conde 2da Seccion
558,Letran Valle
559,Acuilotla
560,Ampliacion San Pedro Xalpa
561,Ricardo Flores Magon
562,Granjas Cabrera
563,Hogar Y Redencion
564,1ra Victoria
565,Ampliacion San Marcos Norte
566,San Angel
567,San Sebastian Del Pueblo San Pedro Tlahuac
568,Ampliacion Panamericana
569,La Herradura Del Pueblo Tetelpan
570,San Isidro
571,Arvide
572,San Jose Aculco
573,Felipe Angeles
574,Ermita
575,Bosque De Las Lomas
576,Ex Hipodromo De Peralvillo
577,Lomas De Chapultepec Viii Seccion
578,Pueblo San Francisco Tecoxpa
579,Anzures
580,Niños Heroes
581,Cuchilla Agricola Oriental
582,Jardines Tecma
583,Barrio Loreto
584,Avante
585,Defensores De La Republica
586,Pueblo Axotla
587,Barrio San Juan Minas
588,Bosque De Chapultepec I Seccion
589,Palmas
590,Ampliacion Napoles
591,Lomas De Chapultepec I Seccion
592,Alvaro Obregon
593,Pueblo Santiago Acahualtepec
594,Asturias
595,Residencial Militar
596,Centro De Azcapotzalco
597,Jardin Azpeitia
598,Ampliacion Progreso Nacional
599,Guadalupe Victoria
600,La Cañada
601,Jardines De San Lorenzo Tezonco
602,C T M El Risco
603,San Juanico
604,Los Cedros
605,Santa Ines
606,Alcantarilla
607,Escandon Ii Seccion
608,Lomas De Chapultepec Iii Seccion
609,Moctezuma 1a Seccion
610,Barrio San Pablo
611,El Prado
612,Heroes De Churubusco
613,Petrolera
614,Trabajadores De Hierro
615,Jalalpa El Grande
616,Barrio San Fernando
617,San Jose De Los Cedros
618,Tlalpan Centro
619,San Miguel Teotongo Secc Puente
620,Aguilera
621,Pueblo De La Magdalena Mixiuhca
622,Caracol
623,Lomas De Los Cedros
624,Minas Cristo Rey
625,Tierra Blanca
626,San Juan
627,Pueblo San Lucas Xochimanca
628,Bosques De Las Lomas
629,Actipan
630,Barrio Belen
631,Santa Maria Insurgentes
632,El Pocito
633,Fuentes Brotantes
634,Cantil Del Pedregal
635,Eva Samano De Lopez Mateos
636,Santa Cruz Aviacion
637,Santa Fe Peña Blanca
638,Barrio La Otra Banda
639,Parque Del Pedregal
640,Nueva Santa Maria
641,La Pastora
642,Molino De Santo Domingo
643,San Pedro Apostol
644,Prados De Coyoacan
645,Ermita Zaragoza
646,Angel Zimbron
647,Pueblo San Lorenzo Atemoaya
648,Moderna
649,Barrio San Lucas
650,San Miguel 8va Ampliacion
651,Ampliacion Cosmopolita
652,Del Maestro
653,San Alvaro
654,20 De Noviembre
655,La Pila
656,San Miguel Chapultepec I Seccion
657,Ex-Ejido De San Francisco Culhuacan
658,Ex Ejido San Pablo Tepetlapa
659,Culhuacan Ctm Seccion V
660,San Simon Tolnahuac
661,Barrio Zapotla
662,Villa De Cortes
663,Presidentes Ejidales 2a Seccion
664,Lomas De Becerra
665,Lomas De Chamontoya
666,Corpus Christy
667,Porvenir
668,Maria Esther Zuno De Echeverria
669,Juventino Rosas
670,Pedregal De Santa Ursula
671,Pueblo Parres El Guarda
672,Toriello Guerra
673,Colina Del Sur
674,Bosques De Tetlameya
675,Ampliacion Los Reyes
676,Tlazintla
677,Vergel Del Sur
678,Progreso Tizapan
679,Alfonso Xiii
680,San Joaquin
681,Ampliacion La Mexicana
682,Pueblo San Bartolome Xicomulco
683,Tolteca
684,Daniel Garza
685,Barrio Santa Ana Sur
686,Josefa Ortiz De Dominguez
687,San Mateo
688,Pueblo San Juan Tepenahuac
689,Euzkadi
690,Americas Unidas
691,El Reloj
692,Janitzio
693,Ferrocarrilera
694,Pueblo Nuevo
695,La Joyita
696,Santa Isabel Industrial
697,Barrio San Miguel Pueblo Santa Ana Tlacotenco
698,Ventura Perez De Alva
699,Ampl. Asturias
700,Barrio La Soledad Del Pueblo  San Juan Ixtayopan
701,Barrio San Ignacio
702,Pueblo Santa Cruz Acayucan
703,Magdalena Mixiuhca
704,Venustiano Carranza
705,Azteca
706,Granjas Navidad
707,General Pedro Ma Anaya
708,Lomas De Chapultepec Iv Seccion
709,Pueblo Tlacopac
710,Cuauhtemoc Pensil
711,Bejero Del Pueblo Santa Fe
712,Comuneros De Santa Ursula
713,Romero Rubio
714,El Rodeo
715,Arenal Tepepan
716,Ejercito De Oriente
717,Aviacion Civil
718,Barranca De Guadalupe
719,Pueblo San Bartolo Cahualtongo
720,Ixtlahuacan
721,Barrio Tetitla Del Pueblo Santa Cruz Acalpixca
722,Vertiz Narvarte
723,Agricola Metropolitana
724,Escandon I Seccion
725,Calzada Jalalpa
726,Rancho Del Carmen Del Pueblo San Bartolo Ameyalco
727,2 De Octubre
728,Presidentes
729,Jalalpa Tepito 2da Ampliacion
730,1ra Ampliacion Presidentes
731,Miguel Hidalgo 2a Seccion
732,Miguel Hidalgo 1a Seccion
733,Legaria
734,Tlacoquemecatl
735,Tlapechico
736,El Cantil
737,Los Cipreses
738,Miguel Hidalgo 4a Seccion
739,Arenal
740,Anahuac Ii Seccion
741,Copilco El Bajo
742,San Miguel Teotongo Secc Guadalupe
743,Ampliacion Nativitas
744,Puente Blanco
745,Pueblo San Lorenzo Xicotencatl
746,Panteon Civil De Dolores
747,Bosque De Chapultepec Iii Seccion
748,Dolores Tlali
749,Chimalistac
750,Pueblo Santo Tomas Ajusco
751,Residencial Villa Coapa
752,Barrio La Fama
753,Peña Pobre
754,Ampliacion Gabriel Ramos Millan
755,Zacamulpa
756,Santa Teresa
757,Pueblo San Lorenzo Tlacoyucan
758,Villa Coyoacan
759,San Miguel Teotongo Seccion Iztlahuaca
760,Santiago Acahualtepec 2a Ampliacion
761,El Encino Del Pueblo Tetelpan
762,Desarrollo Urbano
763,Tenorios
764,Pueblo La Magdalena Petlacalco
765,Pueblo San Pablo Chimalpa
766,Martin Carrera
767,Barrio San Bernabe
768,Lomas De Sta Cruz
769,Barrio Nochtla
770,Barrio Del Niño Jesus
771,Argentina Antigua
772,Puente Colorado
773,Cruz Del Farol
774,Paraje 38
775,Lomas De Chapultepec Vii Seccion
776,Villa Gustavo A Madero
777,San Miguel Teotongo Secc Capilla
778,Del Bosque
779,Gertrudis Sanchez 1a Seccion
780,Aragon Inguaran
781,Lomas De Sotelo
782,El Molino
783,Campestre Palo Alto
784,Barrio La Magdalena
785,Lomas De San Bernabe
786,San Bartolo Ameyalco
787,Jose Maria Pino Suarez
788,San Miguel Teotongo Secc Mercedes
789,Pueblo San Lorenzo Acopilco
790,El Tianguillo
791,Independencia
792,Pueblo San Andres
793,Ampliacion Castillo Grande
794,Estado De Hidalgo
795,Capultitlan
796,Acueducto
797,Culhuacan Ctm Seccion Vi
798,Barrio Santiago Norte
799,Barrio Santa Cruz
800,Ex Hacienda San Juan De Dios
801,Cocoyotes
802,Ampliacion Tlacuitlapa
803,Heron Proal
804,Barrio Xochitepetl
805,Heroe De Nacozari
806,Santa Cruz De Las Salinas
807,Credito Constructor
808,Gabriel Hernandez
809,Aquiles Serdan
810,Arenal 4a. Seccion
811,Pueblo Santa Lucia
812,Los Encinos
813,Polanco Iii Seccion
814,El Jazmin
815,Fuego Nuevo
816,Del Gas
817,Albert
818,La Raza
819,Colonial Iztapalapa
820,Piloto Adolfo Lopez Mateos
821,Barrio San Agustin Pueblo San Juan Ixtayopan
822,San Angel Inn
823,Unidad Cuitlahuac
824,Barrio El Truenito
825,Barrio Oxtopulco Universidad
826,Prado Coapa 3a Seccion
827,Ex Ejido San Juan De Aragon Sector 32
828,Rincon Del Pedregal
829,Pueblo San Pedro Xalpa
830,Ampliacion Selene
831,Palmatitla
832,General Felipe Berriozabal
833,Barrio La Lonja
834,Las Tinajas
835,Cuevitas
836,Chimalli
837,7 De Julio
838,Los Volcanes
839,Cuadrante De San Francisco
840,Tierra Unida
841,Lomas De San Angel Inn
842,Prado Coapa 2a Seccion
843,Lomas De Santa Fe
844,Lomas Estrella
845,San Francisco Culhuacan Barrio De San Francisco
846,La Conchita Zapotitlan
847,Indeco
848,Barranca Seca
849,Ampliacion Los Olivos
850,Pueblo Santa Maria Tomatlan
851,Aaron Saenz
852,Arboledas  Del Sur
853,Floresta Coyoacan
854,Barrio Pocitos
855,San Lorenzo Tlatenango
856,Los Padres
857,Santiaguito
858,Bellavista
859,Estrella Culhuacan
860,San Miguel Teotongo Secc Rancho Bajo
861,Portales Oriente
862,Culhuacan Ctm Seccion Iii
863,Villa Quietud
864,Pedregal De San Nicolas 3a Seccion
865,La Turba
866,America
867,Santa Fe
868,Las Peñas
869,Real Del Moral
870,Tlatilco
871,Lomas De La Estancia
872,Ampliacion Lomas De San Bernabe
873,Sindicato Mexicano De Electricistas
874,El Parque De Coyoacan
875,Lomas De Chapultepec Vi Seccion
876,Mariano Escobedo
877,La Otra Banda
878,Arenal 1a. Seccion
879,Simon Bolivar
880,La Concepcion
881,San Pablo
882,Huayatla
883,Vergel De Coyoacan
884,Lomas Axomiatla
885,Bosques De Tepeximilpa
886,Barrio San Diego
887,Villa Lazaro Cardenas
888,Barrio Alfalfar
889,Presidentes Ejidales 1a Seccion
890,16 De Septiembre
891,Pueblo San Sebastian Tecoloxtitla
892,El Mirador 2a Seccion
893,Las Salinas
894,Sevilla
895,San Clemente Sur
896,Ahuehuetes
897,Pueblo Santiago Tepalcatlalpan U H Rcda Del Sur
898,Estrella Del Sur
899,Carlos A Madrazo
900,Rinconada Coapa
901,La Concha
902,Paseos De Taxqueña
903,Quirino Mendoza
904,Ampliacion El Santuario
905,Barrio Chalmita
906,Canutillo
907,Cove
908,San Miguel Teotongo Secc Loma Alta
909,Belisario Dominguez
910,Villa Olimpica
911,Cuchilla Del Moral
912,Culhuacan C.t.m. Secciën X
913,Pueblo Nuevo Alto
914,Pueblo Santo Domingo
915,Heroes De 1910
916,Copilco El Alto
917,Dos Rios Del Pueblo De Santa Lucia
918,San Antonio
919,Barrio Huautla De Las Salinas
920,Pensil Norte
921,San Clemente Norte
922,Polvorilla
923,Ampliacion Emiliano Zapata
924,San Juan Joya
925,Balcones De Cehuayo
926,Santa Fe La Loma
927,Barrio San Jose
928,Preconcreto
929,Citlalli
930,Guadalupita
931,Rancho Tejomulco
932,Liberales De 1857
933,Ex Ejido De  Santa Ursula Coapa
934,Banjidal
935,Potrerillo
936,Barrio El Capulin
937,Sector Naval
938,Nextitla
939,Jardines De Churubusco
940,Reforma Iztaccihuatl Sur
941,Pueblo San Salvador Cuauhtenco
942,Tlalpuente
943,Modelo Pensil
944,Reforma Iztaccihuatl Norte
945,Canutillo 2da Seccion
946,Pueblo San Jeronimo Miacatlan
947,Pedregal De San Nicolas 2a Seccion
948,San Miguel Teotongo (Secc La Cruz)
949,Maximino Avila Camacho
950,Barrio San Juan Pueblo San Luis Tlaxialtemalco
951,El Rosal
952,Tepantitlamilco
953,Paulino Navarro
954,Nueva Vallejo
955,Lindavista Vallejo 2a Seccion
956,Barrio Ocotitla
957,Torre Blanca
958,San Diego Ocoyoacac
959,Reynosa Tamaulipas
960,Postal
961,Pueblo San Juanico Nextipac
962,Industrial San Antonio
963,Adolfo Ruiz Cortinez
964,Lomas De Padierna Sur
965,Heroes De Cerro Prieto
966,Barrio Santa Lucia
967,Arcos Centenario
968,Pueblo San Miguel Amantla
969,Ampliacion La Cebada
970,Golondrinas
971,Tlaxcaltenco La Mesa
972,San Miguel Teotongo Secc Corrales
973,Zapotitla
974,Miravalle
975,Ermita Tizapan
976,San Jose Del Olivar
977,5 De Mayo
978,Victoria De Las Democracias
979,Paseo De Las Lomas
980,Barrio 3 De Mayo
981,Zona Federal
982,Cosmopolita
983,La Casilda
984,Espartaco
985,La Mexicana
986,Cerro Del Guerrero
987,Forestal
988,Santo Tomas
989,Villa De Aragon
990,La Manzanita
991,Pueblo Santiago Ahuizotla
992,Degollado-Mexicatlalli
993,Barrio Santa Ana
994,Peralitos
995,Penitenciaria
996,Un Hogar Para Cada Trabajador
997,Villa Milpa Alta Centro
998,Las Animas
999,Barrio San Juan Moyotepec
1000,San Francisco Culhuacan Barrio De La Magdalena
1001,Bosques Del Pedregal
1002,Vista Hermosa
1003,Ampliacion San Juan De Aragon
1004,Fraccionamiento Coyuya
1005,Maza
1006,8 De Agosto
1007,Barrio Santiago Norte Del Pueblo Santiago Zapotitlan
1008,Valle De Madero
1009,Lomas De Chapultepec Ii Seccion
1010,Liberacion Proletaria
1011,Las Huertas
1012,Pueblo San Andres Ahuayucan
1013,Revolucion
1014,Pueblo San Nicolas Tetelco
1015,Pueblo Santa Barbara
1016,Ampliacion Del Gas
1017,Paraje San Juan
1018,Pueblo San Francisco Xocotitla
1019,Rosas Del Tepeyac
1020,Ejercito De Oriente Zona Peñon
1021,El Tejocote
1022,Culhuacan Ctm Seccion Ix-B
1023,Los Angeles Apanoaya
1024,Pueblo Santa Catarina
1025,Ampliacion Sinatel
1026,Prado Coapa 1a Seccion
1027,Cuchilla La Joya
1028,Torres De Padierna
1029,Chimilli
1030,Arenal Puerto Aereo
1031,Reforma Social
1032,Santa Fe Tlayapaca
1033,Tecalcapa Del Pueblo Tetelpan
1034,Lago Norte
1035,Paraiso
1036,Lindavista Vallejo 1a Seccion
1037,Monte Alban
1038,Barrio La Laguna Ticoman
1039,2da Del Moral Del Pueblo Tetelpan
1040,Culhuacan Ctm Seccion Ix-A
1041,Ex Hacienda De Tarango
1042,Verano
1043,Barrio San Juan Y Guadalupe Ticoman
